num_loops,max_loop_depth,linear_loops,log_loops,constant_loops,recursive_calls,function_calls,list_comprehensions,n_log_n_calls,log_n_calls,Complexity
0,0,0,0,0,0,12,0,0,0,O(1)
0,0,0,0,0,0,11,0,0,0,O(1)
5,1,5,0,0,0,55,3,0,0,O(1)
0,0,0,0,0,0,11,0,0,0,O(1)
0,0,0,0,0,0,20,0,0,0,O(1)
1,1,1,0,0,0,49,0,0,0,O(1)
0,0,0,0,0,0,13,0,0,0,O(1)
0,0,0,0,0,0,13,0,0,0,O(1)
0,0,0,0,0,0,12,0,0,0,O(1)
0,0,0,0,0,0,44,0,0,0,O(1)
0,0,0,0,0,0,39,0,0,0,O(1)
0,0,0,0,0,0,27,0,0,0,O(1)
0,0,0,0,0,0,14,0,0,0,O(1)
0,0,0,0,0,0,13,0,0,0,O(1)
0,0,0,0,0,0,17,0,0,0,O(1)
0,0,0,0,0,0,11,0,0,0,O(1)
0,0,0,0,0,0,16,0,0,0,O(1)
0,0,0,0,0,0,13,0,0,0,O(1)
0,0,0,0,0,0,13,0,0,0,O(1)
0,0,0,0,0,0,4,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,15,0,0,0,O(1)
0,0,0,0,0,0,4,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,4,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,4,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,3,0,0,0,O(1)
0,0,0,0,0,0,4,0,0,0,O(1)
2,1,2,0,0,0,8,0,0,0,O(1)
2,2,2,0,0,0,6,0,0,0,O(1)
0,0,0,0,0,0,9,0,0,0,O(1)
